标题,参考价,京东价
金士顿HyperX Savage 8GB DDR4 2800（HX428C14SB/8）,￥449,
海盗船复仇者 8GB DDR4 3200（笔记本）,￥239,¥149
沃存16GB DDR4 3200,￥139,
沃存16GB DDR4 3600,￥149,
金士顿8GB DDR4 2666（KCP426NS6/8）,￥239,
威刚万紫千红 32GB DDR4 3200,￥1199,¥359
金士顿4GB DDR4 2666（KCP426NS6/4）,￥199,
金士顿骇客神条Predator 8GB DDR4 4000 RGB灯条,￥649,
金士顿8GB DDR4 3200（KCP432NS6/8）,￥359,
芝奇Ripjaws 32GB DDR4 3200,￥1099,¥398
海盗船8GB DDR4 2666（台式机）,￥209,
金百达16GB DDR4 3200（笔记本）,￥409,¥169
金士顿骇客神条FURY 32GB DDR4 2666（HX426C16FB3/32）,￥1199,
联想Master大师系列 8GB DDR4 3200,￥279,
联想8GB DDR4 2666,￥239,¥89
英睿达8GB DDR4 3200（CT8G4SFS832A）,￥319,¥109
瑾宇PC4-2666V 4GB,￥139,
海力士16GB DDR4 2666（笔记本）,￥625,¥189
酷兽4GB DDR4 2133（台式机）,￥98,
三星16GB DDR4 2400,￥549,¥209
联想8GB DDR4 2666（笔记本）,￥299,¥89
联想16GB DDR4 2666（笔记本）,￥499,¥129
芝奇AEGIS 8GB DDR4 2666（F4-2666C19S-8GIS）,￥299,
三星8GB DDR4 2133（笔记本）,￥259,
金士顿系统指定内存 8GB DDR4 2133（KCP421SS8/8）,￥1019,
金士顿低电压版 16GB DDR4 2400（KVR24S17D8/16）,￥1499,
芝奇Ripjaws V 16GB DDR4 3000（F4-3000C15S-16GVR）,￥1599,
威刚XPG威龙 8GB DDR4 2400,￥599,
芝奇Ripjaws 8GB DDR4 2400（F4-2400C15S-8GRK）,￥699,
联想8GB DDR4 3200 钛刃,￥189,
七彩虹战斧 8GB DDR4 3600,￥135,
联想8GB DDR4 2666 银刃,￥179,
美商海盗船复仇者RGB 8GB DDR4 3600吹雪联名款,￥9799,
阿斯加特弗雷 Freyr 16GB DDR4 3200,￥389,¥259
七彩虹16GB DDR4 2666（台式机）,￥319,
阿斯加特弗雷 Freyr 8G DDR4 3200,￥188,
朗科越影 8GB DDR4 3600,￥279,¥105
朗科超光 8GB DDR4 3200 笔记本内存条,￥229,¥85
